nohup: ignoring input
Importing module 'gym_38' (/home/user/Workspace/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/user/Workspace/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.4.1+cu124
Device count 1
/home/user/Workspace/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/user/.cache/torch_extensions/py38_cu124 as PyTorch extensions root...
Emitting ninja build file /home/user/.cache/torch_extensions/py38_cu124/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
2026-03-06 18:09:18,555 - INFO - logger - logger initialized
<unknown>:3: DeprecationWarning: invalid escape sequence \*
Error: FBX library failed to load - importing FBX data will not succeed. Message: No module named 'fbx'
FBX tools must be installed from https://help.autodesk.com/view/FBX/2020/ENU/?guid=FBX_Developer_Help_scripting_with_python_fbx_installing_python_fbx_html
<unknown>:3: DeprecationWarning: invalid escape sequence \*
Error: FBX library failed to load - importing FBX data will not succeed. Message: No module named 'fbx'
FBX tools must be installed from https://help.autodesk.com/view/FBX/2020/ENU/?guid=FBX_Developer_Help_scripting_with_python_fbx_installing_python_fbx_html

╔══════════════════════════════════════════════════════════════╗
║     ProKnee Stage 2: Hora-Faithful Latent Distillation      ║
║     adapt_tconv(proprio_hist) → latent ≈ priv_mlp(priv)     ║
║     Pure MSE loss — NO PPO — Only adapt_tconv trained        ║
╚══════════════════════════════════════════════════════════════╝

[Config] device=cuda:0, num_envs=4096
[Config] lr=0.0003, max_steps=5e+08
[Config] body_policy=outputs/checkpoints/stage0/stage0_amp_walk_5050.pth
[Config] teacher_ckpt=outputs/checkpoints/stage1/stage1_teacher_dagger.pth
[Config] output_dir=/home/user/Workspace/ProKnee/ProKnee-HoraStyle/outputs/stage2_padapt_20260306_180918
[Config] obs_dim=16, priv_info_dim=113, proprio_dim=16, latent_dim=32, hist_len=30

[1/3] Creating ProKneeBase environment...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
/home/user/Workspace/ProKnee/ProKnee-HoraStyle/proknee_hora/envs/proknee_base.py:295: DeprecationWarning: an integer is required (got type isaacgym._bindings.linux-x86_64.gym_38.DofDriveMode).  Implicit conversion to integers using __int__ is deprecated, and may be removed in a future version of Python.
  asset_options.default_dof_drive_mode = gymapi.DOF_MODE_NONE
/home/user/Workspace/ProKnee/ProKnee-HoraStyle/proknee_hora/envs/proknee_base.py:215: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  key_body_ids=torch.tensor(self._key_body_ids).cpu().long(),
Loading 1/1 motion files: /home/user/Workspace/ProKnee/ProKnee-HoraStyle/IsaacGymEnvs/assets/amp/motions/amp_humanoid_walk.npy
Loaded 1 motions with a total length of 2.550s.
[ProKneeBase] Loaded frozen body policy from outputs/checkpoints/stage0/stage0_amp_walk_5050.pth
  Environment created in 0.8s
  num_obs=16, num_actions=4
[2/3] Creating ProprioAdapt trainer...
2026-03-06 18:09:19,702 [proknee_hora.algo.proprio_adapt] [INFO] Trainable params (adapt_tconv): 33,440 / 161,929 total
[3/3] Loading Stage 1 teacher model...
/home/user/Workspace/ProKnee/ProKnee-HoraStyle/proknee_hora/algo/proprio_adapt.py:143: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=self.device)
2026-03-06 18:09:19,955 [proknee_hora.algo.proprio_adapt] [INFO] Loaded Stage 1 model from outputs/checkpoints/stage1/stage1_teacher_dagger.pth
  Total params:     161,929
  Frozen params:    128,489
  Trainable (tconv): 33,440

============================================================
  Training started!
  Target: 5e+08 agent steps (4096 envs)
  TensorBoard: tensorboard --logdir /home/user/Workspace/ProKnee/ProKnee-HoraStyle/outputs/stage2_padapt_20260306_180918/tb
  Interrupt: Ctrl+C or kill <PID>
============================================================


  Steps: 0000M | FPS: 8001 | Reward: 0.00 | Latent MSE: 0.5507 | Best: -1000000.00
  Steps: 0000M | FPS: 11584 | Reward: 0.00 | Latent MSE: 0.5060 | Best: -1000000.00
  Steps: 0000M | FPS: 14996 | Reward: 0.00 | Latent MSE: 0.4876 | Best: -1000000.00
  Steps: 0000M | FPS: 18142 | Reward: 0.00 | Latent MSE: 0.4743 | Best: -1000000.00
  Steps: 0000M | FPS: 21168 | Reward: 0.00 | Latent MSE: 0.4643 | Best: -1000000.00
  Steps: 0000M | FPS: 24002 | Reward: 0.00 | Latent MSE: 0.4557 | Best: -1000000.00
  Steps: 0000M | FPS: 26616 | Reward: 0.00 | Latent MSE: 0.4479 | Best: -1000000.00
  Steps: 0000M | FPS: 29199 | Reward: 0.00 | Latent MSE: 0.4408 | Best: -1000000.00
  Steps: 0000M | FPS: 31509 | Reward: 0.00 | Latent MSE: 0.4335 | Best: -1000000.00
  Steps: 0000M | FPS: 33714 | Reward: 0.00 | Latent MSE: 0.4264 | Best: -1000000.00
  Steps: 0000M | FPS: 35920 | Reward: 0.00 | Latent MSE: 0.4188 | Best: -1000000.00
  Steps: 0000M | FPS: 37881 | Reward: 0.00 | Latent MSE: 0.4110 | Best: -1000000.00
  Steps: 0000M | FPS: 39810 | Reward: 0.00 | Latent MSE: 0.4030 | Best: -1000000.00
  Steps: 0000M | FPS: 41680 | Reward: 0.00 | Latent MSE: 0.3950 | Best: -1000000.00
  Steps: 0000M | FPS: 43366 | Reward: 0.00 | Latent MSE: 0.3868 | Best: -1000000.00
  Steps: 0000M | FPS: 45149 | Reward: 0.00 | Latent MSE: 0.3787 | Best: -1000000.00
  Steps: 0000M | FPS: 46745 | Reward: 0.00 | Latent MSE: 0.3708 | Best: -1000000.00
  Steps: 0000M | FPS: 48312 | Reward: 0.00 | Latent MSE: 0.3633 | Best: -1000000.00
  Steps: 0000M | FPS: 49838 | Reward: 0.00 | Latent MSE: 0.3562 | Best: -1000000.00
  Steps: 0000M | FPS: 51198 | Reward: 0.00 | Latent MSE: 0.3494 | Best: -1000000.00
  Steps: 0000M | FPS: 52677 | Reward: 0.00 | Latent MSE: 0.3434 | Best: -1000000.00
  Steps: 0000M | FPS: 53950 | Reward: 0.00 | Latent MSE: 0.3379 | Best: -1000000.00
  Steps: 0000M | FPS: 55215 | Reward: 0.00 | Latent MSE: 0.3332 | Best: -1000000.00
  Steps: 0000M | FPS: 56487 | Reward: 0.00 | Latent MSE: 0.3290 | Best: -1000000.00
  Steps: 0000M | FPS: 57565 | Reward: 0.00 | Latent MSE: 0.3252 | Best: -1000000.00
  Steps: 0000M | FPS: 58790 | Reward: 0.00 | Latent MSE: 0.3216 | Best: -1000000.00
  Steps: 0000M | FPS: 59805 | Reward: 0.00 | Latent MSE: 0.3182 | Best: -1000000.00
  Steps: 0000M | FPS: 60863 | Reward: 0.00 | Latent MSE: 0.3147 | Best: -1000000.00
  Steps: 0000M | FPS: 61942 | Reward: 0.00 | Latent MSE: 0.3113 | Best: -1000000.00
  Steps: 0000M | FPS: 62851 | Reward: 0.00 | Latent MSE: 0.3079 | Best: -1000000.00
  Steps: 0000M | FPS: 63893 | Reward: 0.00 | Latent MSE: 0.3045 | Best: -1000000.00
  Steps: 0000M | FPS: 64750 | Reward: 0.00 | Latent MSE: 0.3013 | Best: -1000000.00
  Steps: 0000M | FPS: 65614 | Reward: 0.00 | Latent MSE: 0.2983 | Best: -1000000.00
  Steps: 0000M | FPS: 66496 | Reward: 0.00 | Latent MSE: 0.2955 | Best: -1000000.00
  Steps: 0000M | FPS: 67235 | Reward: 0.00 | Latent MSE: 0.2928 | Best: -1000000.00
  Steps: 0000M | FPS: 68134 | Reward: 0.00 | Latent MSE: 0.2904 | Best: -1000000.00
  Steps: 0000M | FPS: 68893 | Reward: 0.00 | Latent MSE: 0.2881 | Best: -1000000.00
  Steps: 0000M | FPS: 69605 | Reward: 0.00 | Latent MSE: 0.2859 | Best: -1000000.00
  Steps: 0000M | FPS: 70416 | Reward: 0.00 | Latent MSE: 0.2837 | Best: -1000000.00
  Steps: 0000M | FPS: 71043 | Reward: 0.00 | Latent MSE: 0.2817 | Best: -1000000.00
  Steps: 0000M | FPS: 71890 | Reward: 0.00 | Latent MSE: 0.2796 | Best: -1000000.00
  Steps: 0000M | FPS: 59354 | Reward: 89.05 | Latent MSE: 0.2777 | Best: -1000000.00
  Steps: 0000M | FPS: 53203 | Reward: 90.14 | Latent MSE: 0.2757 | Best: -1000000.00
  Steps: 0000M | FPS: 53776 | Reward: 91.74 | Latent MSE: 0.2738 | Best: -1000000.00
  Steps: 0000M | FPS: 54325 | Reward: 91.82 | Latent MSE: 0.2719 | Best: -1000000.00
  Steps: 0000M | FPS: 54877 | Reward: 92.80 | Latent MSE: 0.2700 | Best: -1000000.00
  Steps: 0000M | FPS: 55476 | Reward: 93.41 | Latent MSE: 0.2681 | Best: -1000000.00
  Steps: 0000M | FPS: 56074 | Reward: 93.41 | Latent MSE: 0.2662 | Best: -1000000.00
  Steps: 0000M | FPS: 56580 | Reward: 95.10 | Latent MSE: 0.2643 | Best: -1000000.00
  Steps: 0000M | FPS: 57217 | Reward: 95.10 | Latent MSE: 0.2624 | Best: -1000000.00
  Steps: 0000M | FPS: 57752 | Reward: 95.10 | Latent MSE: 0.2605 | Best: -1000000.00
  Steps: 0000M | FPS: 58217 | Reward: 98.14 | Latent MSE: 0.2585 | Best: -1000000.00
  Steps: 0000M | FPS: 58737 | Reward: 98.79 | Latent MSE: 0.2566 | Best: -1000000.00
  Steps: 0000M | FPS: 59266 | Reward: 98.79 | Latent MSE: 0.2547 | Best: -1000000.00
  Steps: 0000M | FPS: 59800 | Reward: 98.79 | Latent MSE: 0.2528 | Best: -1000000.00
  Steps: 0000M | FPS: 60351 | Reward: 98.79 | Latent MSE: 0.2509 | Best: -1000000.00
  Steps: 0000M | FPS: 60832 | Reward: 98.79 | Latent MSE: 0.2490 | Best: -1000000.00
  Steps: 0000M | FPS: 61388 | Reward: 98.79 | Latent MSE: 0.2471 | Best: -1000000.00
  Steps: 0000M | FPS: 61876 | Reward: 98.79 | Latent MSE: 0.2452 | Best: -1000000.00
  Steps: 0000M | FPS: 62352 | Reward: 98.79 | Latent MSE: 0.2434 | Best: -1000000.00
  Steps: 0000M | FPS: 62867 | Reward: 98.79 | Latent MSE: 0.2416 | Best: -1000000.00
  Steps: 0000M | FPS: 63235 | Reward: 100.16 | Latent MSE: 0.2398 | Best: -1000000.00
  Steps: 0000M | FPS: 63593 | Reward: 101.11 | Latent MSE: 0.2381 | Best: -1000000.00
  Steps: 0000M | FPS: 63986 | Reward: 101.54 | Latent MSE: 0.2365 | Best: -1000000.00
  Steps: 0000M | FPS: 64348 | Reward: 123.79 | Latent MSE: 0.2349 | Best: -1000000.00
  Steps: 0000M | FPS: 64746 | Reward: 123.79 | Latent MSE: 0.2334 | Best: -1000000.00
  Steps: 0000M | FPS: 65207 | Reward: 123.79 | Latent MSE: 0.2319 | Best: -1000000.00
  Steps: 0000M | FPS: 65552 | Reward: 121.00 | Latent MSE: 0.2305 | Best: -1000000.00
  Steps: 0000M | FPS: 65833 | Reward: 119.54 | Latent MSE: 0.2291 | Best: -1000000.00
  Steps: 0000M | FPS: 66124 | Reward: 115.87 | Latent MSE: 0.2277 | Best: 115.87
  Steps: 0000M | FPS: 66474 | Reward: 111.35 | Latent MSE: 0.2264 | Best: 115.87
  Steps: 0000M | FPS: 66799 | Reward: 111.09 | Latent MSE: 0.2250 | Best: 115.87
  Steps: 0000M | FPS: 67057 | Reward: 111.59 | Latent MSE: 0.2237 | Best: 115.87
