nohup: ignoring input
Importing module 'gym_38' (/home/user/Workspace/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/user/Workspace/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.4.1+cu124
Device count 1
/home/user/Workspace/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/user/.cache/torch_extensions/py38_cu124 as PyTorch extensions root...
Emitting ninja build file /home/user/.cache/torch_extensions/py38_cu124/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
2026-03-21 15:28:45,209 - INFO - logger - logger initialized
<unknown>:3: DeprecationWarning: invalid escape sequence \*
Error: FBX library failed to load - importing FBX data will not succeed. Message: No module named 'fbx'
FBX tools must be installed from https://help.autodesk.com/view/FBX/2020/ENU/?guid=FBX_Developer_Help_scripting_with_python_fbx_installing_python_fbx_html
<unknown>:3: DeprecationWarning: invalid escape sequence \*
Error: FBX library failed to load - importing FBX data will not succeed. Message: No module named 'fbx'
FBX tools must be installed from https://help.autodesk.com/view/FBX/2020/ENU/?guid=FBX_Developer_Help_scripting_with_python_fbx_installing_python_fbx_html

╔══════════════════════════════════════════════════════════════╗
║  ProKnee Stage 2 Unified: Hora-Faithful Distillation         ║
║  adapt_tconv(proprio_hist_16D) → latent ≈ priv_mlp(priv)    ║
║  Student infers velocity from history — no explicit v_cmd    ║
║  Pure MSE loss — Only adapt_tconv trained                    ║
╚══════════════════════════════════════════════════════════════╝

[Config] device=cuda:0, num_envs=4096
[Config] lr=0.0003, max_steps=5e+08
[Config] body_policy=outputs/checkpoints/stage0/stage0_unified_1800.pth
[Config] teacher_ckpt=outputs/checkpoints/stage1_unified/best.pth

[Config] output_dir=/home/user/Workspace/ProKnee/ProKnee-HoraStyle/outputs/stage2_unified_20260321_152845

[1/3] Creating ProKneeUnifiedEnv...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
/home/user/Workspace/ProKnee/ProKnee-HoraStyle/proknee_hora/envs/proknee_base.py:295: DeprecationWarning: an integer is required (got type isaacgym._bindings.linux-x86_64.gym_38.DofDriveMode).  Implicit conversion to integers using __int__ is deprecated, and may be removed in a future version of Python.
  asset_options.default_dof_drive_mode = gymapi.DOF_MODE_NONE
/home/user/Workspace/ProKnee/ProKnee-HoraStyle/proknee_hora/envs/proknee_base.py:215: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  key_body_ids=torch.tensor(self._key_body_ids).cpu().long(),
Loading 1/1 motion files: /home/user/Workspace/ProKnee/ProKnee-HoraStyle/IsaacGymEnvs/assets/amp/motions/amp_humanoid_walk.npy
Loaded 1 motions with a total length of 2.550s.
[ProKneeUnifiedEnv] Loaded unified body policy from outputs/checkpoints/stage0/stage0_unified_1800.pth
  Environment created in 0.8s
[2/3] Creating ProprioAdaptUnified trainer...
2026-03-21 15:28:46,315 [train_stage2_unified] [INFO] Trainable params (adapt_tconv): 33,440 / 162,185 total
[3/3] Loading Stage 1 unified teacher model...
scripts/train_stage2_unified.py:184: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=self.device)
2026-03-21 15:28:46,555 [train_stage2_unified] [INFO] Loaded Stage 1 unified model from outputs/checkpoints/stage1_unified/best.pth
  Total params:     162,185
  Frozen params:    128,745
  Trainable (tconv): 33,440

============================================================
  Unified Stage 2 Training started!
  Target: 5e+08 agent steps (4096 envs)
  TensorBoard: tensorboard --logdir /home/user/Workspace/ProKnee/ProKnee-HoraStyle/outputs/stage2_unified_20260321_152845/tb
============================================================


  Steps: 0000M | FPS: 7677 | Reward: 0.00 | Latent MSE: 0.7364 | Best: -1000000.00
  Steps: 0000M | FPS: 11311 | Reward: 0.00 | Latent MSE: 0.7078 | Best: -1000000.00
  Steps: 0000M | FPS: 14834 | Reward: 0.00 | Latent MSE: 0.6913 | Best: -1000000.00
  Steps: 0000M | FPS: 18242 | Reward: 0.00 | Latent MSE: 0.6798 | Best: -1000000.00
  Steps: 0000M | FPS: 21557 | Reward: 0.00 | Latent MSE: 0.6703 | Best: -1000000.00
  Steps: 0000M | FPS: 24759 | Reward: 0.00 | Latent MSE: 0.6619 | Best: -1000000.00
  Steps: 0000M | FPS: 27879 | Reward: 0.00 | Latent MSE: 0.6541 | Best: -1000000.00
  Steps: 0000M | FPS: 30896 | Reward: 0.00 | Latent MSE: 0.6456 | Best: -1000000.00
  Steps: 0000M | FPS: 33830 | Reward: 0.00 | Latent MSE: 0.6377 | Best: -1000000.00
  Steps: 0000M | FPS: 36697 | Reward: 0.00 | Latent MSE: 0.6288 | Best: -1000000.00
  Steps: 0000M | FPS: 39469 | Reward: 0.00 | Latent MSE: 0.6187 | Best: -1000000.00
  Steps: 0000M | FPS: 42149 | Reward: 0.00 | Latent MSE: 0.6077 | Best: -1000000.00
  Steps: 0000M | FPS: 44768 | Reward: 0.00 | Latent MSE: 0.5962 | Best: -1000000.00
  Steps: 0000M | FPS: 47321 | Reward: 0.00 | Latent MSE: 0.5839 | Best: -1000000.00
  Steps: 0000M | FPS: 49813 | Reward: 0.00 | Latent MSE: 0.5710 | Best: -1000000.00
  Steps: 0000M | FPS: 52250 | Reward: 0.00 | Latent MSE: 0.5572 | Best: -1000000.00
  Steps: 0000M | FPS: 54606 | Reward: 0.00 | Latent MSE: 0.5432 | Best: -1000000.00
  Steps: 0000M | FPS: 56917 | Reward: 0.00 | Latent MSE: 0.5288 | Best: -1000000.00
  Steps: 0000M | FPS: 59173 | Reward: 0.00 | Latent MSE: 0.5147 | Best: -1000000.00
  Steps: 0000M | FPS: 61352 | Reward: 0.00 | Latent MSE: 0.5007 | Best: -1000000.00
  Steps: 0000M | FPS: 63471 | Reward: 0.00 | Latent MSE: 0.4874 | Best: -1000000.00
  Steps: 0000M | FPS: 65486 | Reward: 0.00 | Latent MSE: 0.4749 | Best: -1000000.00
  Steps: 0000M | FPS: 67447 | Reward: 0.00 | Latent MSE: 0.4633 | Best: -1000000.00
  Steps: 0000M | FPS: 69367 | Reward: 0.00 | Latent MSE: 0.4526 | Best: -1000000.00
  Steps: 0000M | FPS: 71293 | Reward: 0.00 | Latent MSE: 0.4429 | Best: -1000000.00
  Steps: 0000M | FPS: 73175 | Reward: 0.00 | Latent MSE: 0.4339 | Best: -1000000.00
  Steps: 0000M | FPS: 75002 | Reward: 0.00 | Latent MSE: 0.4258 | Best: -1000000.00
  Steps: 0000M | FPS: 76768 | Reward: 0.00 | Latent MSE: 0.4183 | Best: -1000000.00
  Steps: 0000M | FPS: 78564 | Reward: 0.00 | Latent MSE: 0.4114 | Best: -1000000.00
  Steps: 0000M | FPS: 80305 | Reward: 0.00 | Latent MSE: 0.4048 | Best: -1000000.00
  Steps: 0000M | FPS: 82010 | Reward: 0.00 | Latent MSE: 0.3985 | Best: -1000000.00
  Steps: 0000M | FPS: 83673 | Reward: 0.00 | Latent MSE: 0.3924 | Best: -1000000.00
  Steps: 0000M | FPS: 85267 | Reward: 0.00 | Latent MSE: 0.3865 | Best: -1000000.00
  Steps: 0000M | FPS: 86859 | Reward: 0.00 | Latent MSE: 0.3809 | Best: -1000000.00
  Steps: 0000M | FPS: 88419 | Reward: 0.00 | Latent MSE: 0.3755 | Best: -1000000.00
  Steps: 0000M | FPS: 89942 | Reward: 0.00 | Latent MSE: 0.3703 | Best: -1000000.00
  Steps: 0000M | FPS: 91429 | Reward: 0.00 | Latent MSE: 0.3654 | Best: -1000000.00
  Steps: 0000M | FPS: 92884 | Reward: 0.00 | Latent MSE: 0.3607 | Best: -1000000.00
  Steps: 0000M | FPS: 94310 | Reward: 0.00 | Latent MSE: 0.3562 | Best: -1000000.00
  Steps: 0000M | FPS: 95664 | Reward: 0.00 | Latent MSE: 0.3519 | Best: -1000000.00
  Steps: 0000M | FPS: 97018 | Reward: 0.00 | Latent MSE: 0.3479 | Best: -1000000.00
  Steps: 0000M | FPS: 98288 | Reward: 0.00 | Latent MSE: 0.3440 | Best: -1000000.00
  Steps: 0000M | FPS: 99545 | Reward: 0.00 | Latent MSE: 0.3404 | Best: -1000000.00
  Steps: 0000M | FPS: 100830 | Reward: 0.00 | Latent MSE: 0.3369 | Best: -1000000.00
  Steps: 0000M | FPS: 102054 | Reward: 0.00 | Latent MSE: 0.3335 | Best: -1000000.00
  Steps: 0000M | FPS: 103276 | Reward: 0.00 | Latent MSE: 0.3303 | Best: -1000000.00
  Steps: 0000M | FPS: 104436 | Reward: 0.00 | Latent MSE: 0.3272 | Best: -1000000.00
  Steps: 0000M | FPS: 105582 | Reward: 0.00 | Latent MSE: 0.3243 | Best: -1000000.00
  Steps: 0000M | FPS: 106721 | Reward: 0.00 | Latent MSE: 0.3216 | Best: -1000000.00
  Steps: 0000M | FPS: 107845 | Reward: 0.00 | Latent MSE: 0.3190 | Best: -1000000.00
  Steps: 0000M | FPS: 108966 | Reward: 0.00 | Latent MSE: 0.3165 | Best: -1000000.00
  Steps: 0000M | FPS: 109975 | Reward: 0.00 | Latent MSE: 0.3141 | Best: -1000000.00
  Steps: 0000M | FPS: 110989 | Reward: 0.00 | Latent MSE: 0.3118 | Best: -1000000.00
