frame,time_s,root_x,root_y,root_z,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
49,0.816667,-0.84636641,0.50066286,0.81488466,1.46128345,0.00767497,0.17215566,-0.31814915,0.03630299,-0.59842014
50,0.833333,-0.79707396,0.50094289,0.82003605,1.45241332,0.01048493,0.12382487,-0.33984986,0.05344509,-0.62053049
51,0.850000,-0.79707396,0.50094289,0.82003605,1.44439781,0.01433370,0.08054671,-0.34119281,0.08053219,-0.65290296
52,0.866667,-0.74997693,0.50122279,0.82037938,1.44068742,0.02003127,0.04996831,-0.31928432,0.10974746,-0.69543880
53,0.883333,-0.74997693,0.50122279,0.82037938,1.44375789,0.02748863,0.03394656,-0.28148165,0.12926397,-0.74643236
54,0.900000,-0.70222539,0.50228399,0.82007182,1.45306289,0.03575177,0.02569480,-0.23763730,0.13301940,-0.80433059
55,0.916667,-0.70222539,0.50228399,0.82007182,1.46570158,0.04351030,0.01303697,-0.19861020,0.12869014,-0.86720467
56,0.933333,-0.65262240,0.50406569,0.82420897,1.47891545,0.04971922,-0.01199587,-0.17756887,0.13454309,-0.93069410
57,0.950000,-0.65262240,0.50406569,0.82420897,1.49192417,0.05397008,-0.04557005,-0.18641262,0.16758300,-0.98724699
58,0.966667,-0.60313791,0.50601488,0.81883562,1.50548744,0.05650068,-0.07576954,-0.22516859,0.23087396,-1.02596533
59,0.983333,-0.60313791,0.50601488,0.81883562,1.52010739,0.05798259,-0.09429880,-0.27626196,0.30587155,-1.03319621
60,1.000000,-0.55206174,0.50797349,0.81563520,1.53517056,0.05921592,-0.10304229,-0.31304777,0.35563657,-0.99380153
61,1.016667,-0.55206174,0.50797349,0.81563520,1.54998386,0.06064513,-0.10987052,-0.31595242,0.34430480,-0.89505094
62,1.033333,-0.49997517,0.50982904,0.81285536,1.56544864,0.06176173,-0.12033109,-0.28198341,0.26489964,-0.73329371
63,1.050000,-0.49997517,0.50982904,0.81285536,1.58460820,0.06102405,-0.13299282,-0.22028682,0.15032497,-0.51992720
64,1.066667,-0.44770250,0.51247209,0.80762017,1.61125576,0.05684990,-0.14034230,-0.13789983,0.05176203,-0.28087655
65,1.083333,-0.44770250,0.51247209,0.80762017,1.64701819,0.04901781,-0.13369571,-0.02672330,0.00129279,-0.04684789
66,1.100000,-0.39306471,0.51391566,0.80071425,1.68855631,0.03905716,-0.10940352,0.13296548,-0.00939032,0.16015837
67,1.116667,-0.39306471,0.51391566,0.80071425,1.72710752,0.02932114,-0.07194117,0.34709993,-0.01842302,0.33048010
68,1.133333,-0.33286145,0.51445895,0.80040717,1.75165176,0.02182458,-0.03057997,0.58035743,-0.06138457,0.45695943
69,1.150000,-0.33286145,0.51445895,0.80040717,1.75415039,0.01784135,0.00767459,0.76745552,-0.14560898,0.52527511
70,1.166667,-0.27248329,0.51479751,0.80139375,1.73328674,0.01813705,0.04208441,0.86592466,-0.24968965,0.52098751
71,1.183333,-0.27248329,0.51479751,0.80139375,1.69425905,0.02300741,0.07602095,0.89046699,-0.33965853,0.44939908
72,1.200000,-0.21701016,0.51513624,0.80362952,1.64531600,0.03172699,0.11190967,0.88488430,-0.38605583,0.34825552
73,1.216667,-0.21701016,0.51513624,0.80362952,1.59413195,0.04215102,0.14818692,0.87058842,-0.37755281,0.27339345
74,1.233333,-0.16474861,0.51723593,0.81013751,1.54650414,0.05143182,0.18017466,0.83198094,-0.32870659,0.26287231
75,1.250000,-0.16474861,0.51723593,0.81013751,1.50655174,0.05738014,0.20279591,0.74112898,-0.27121884,0.31350604
76,1.266667,-0.11663011,0.51936400,0.81787586,1.47614992,0.05907496,0.21221332,0.58835423,-0.22964874,0.39284059
77,1.283333,-0.11663011,0.51936400,0.81787586,1.45425236,0.05650768,0.20619528,0.39837071,-0.20707585,0.46906298
78,1.300000,-0.06787380,0.52160478,0.82626343,1.43852532,0.05032970,0.18486428,0.22610359,-0.19611454,0.52776921
79,1.316667,-0.06787380,0.52160478,0.82626343,1.42839551,0.04202118,0.15146285,0.13037373,-0.19487257,0.57067084
80,1.333333,-0.02150503,0.52264702,0.83023715,1.42555618,0.03363433,0.11123736,0.13528791,-0.20456260,0.60655171
81,1.350000,-0.02150503,0.52264702,0.83023715,1.43094468,0.02664626,0.06927463,0.21015635,-0.21806784,0.64465314
82,1.366667,0.02576685,0.52312613,0.83222401,1.44187331,0.02076871,0.02998307,0.28877202,-0.22003673,0.69067246
83,1.383333,0.02576685,0.52312613,0.83222401,1.45300305,0.01401951,-0.00220743,0.31499481,-0.19882214,0.74591863
84,1.400000,0.07589474,0.52419734,0.82988882,1.46068430,0.00437635,-0.02387492,0.27784052,-0.15500012,0.80690676
85,1.416667,0.07589474,0.52419734,0.82988882,1.46608520,-0.00833518,-0.03501906,0.21016949,-0.09736493,0.86498517
86,1.433333,0.12339238,0.52347863,0.82883418,1.47332454,-0.02213565,-0.03930229,0.15394966,-0.03216216,0.90708494
87,1.450000,0.12339238,0.52347863,0.82883418,1.48476422,-0.03427051,-0.04134954,0.12741888,0.03910262,0.92301375
88,1.466667,0.17357111,0.52180231,0.82751644,1.49914217,-0.04273861,-0.04433169,0.12183180,0.10983439,0.91489482
89,1.483333,0.17357111,0.52180231,0.82751644,1.51396394,-0.04686875,-0.05006793,0.12190751,0.16287820,0.89576536
90,1.500000,0.22426349,0.51991332,0.82589376,1.52826679,-0.04710386,-0.06025049,0.12420974,0.18108696,0.87294680
91,1.516667,0.22426349,0.51991332,0.82589376,1.54282725,-0.04446986,-0.07627337,0.13689971,0.15990463,0.83605707
92,1.533333,0.27571785,0.51853418,0.82414389,1.55874991,-0.03996285,-0.09729975,0.16298522,0.10709488,0.76563746
93,1.550000,0.27571785,0.51853418,0.82414389,1.57638931,-0.03417608,-0.11916909,0.18235336,0.03642282,0.65182161
94,1.566667,0.32852119,0.51730651,0.81830478,1.59513474,-0.02747865,-0.13641129,0.15267445,-0.03376511,0.50202036
95,1.583333,0.32852119,0.51730651,0.81830478,1.61356819,-0.02044101,-0.14531809,0.03779734,-0.08437609,0.33299851
96,1.600000,0.38274127,0.51691937,0.81357467,1.62966847,-0.01380552,-0.14421268,-0.15413499,-0.10814335,0.15824649
97,1.616667,0.38274127,0.51691937,0.81357467,1.64122367,-0.00793521,-0.13156858,-0.36403501,-0.11878233,-0.01620160
98,1.633333,0.43834427,0.51679826,0.80758941,1.64651787,-0.00250321,-0.10611459,-0.52360982,-0.14123970,-0.18560416
99,1.650000,0.43834427,0.51679826,0.80758941,1.64458942,0.00287307,-0.06908425,-0.60826164,-0.18865348,-0.33944929
100,1.666667,0.49319103,0.51667714,0.80627978,1.63467300,0.00749692,-0.02459591,-0.64820457,-0.24713597,-0.46189734
101,1.683333,0.49319103,0.51667714,0.80627978,1.61617553,0.00954267,0.02299994,-0.68718874,-0.28480053,-0.53537762
102,1.700000,0.54811662,0.51806015,0.80776012,1.59045398,0.00790816,0.07141186,-0.72963530,-0.27940434,-0.54564226
103,1.716667,0.54811662,0.51806015,0.80776012,1.56227803,0.00404172,0.11985185,-0.73533493,-0.23625647,-0.49427983
104,1.733333,0.59812605,0.51720214,0.81244028,1.53764439,0.00104784,0.16687037,-0.67085057,-0.17827484,-0.41253233
105,1.750000,0.59812605,0.51720214,0.81244028,1.51915228,0.00083650,0.20887937,-0.55273026,-0.12328114,-0.34913662
106,1.766667,0.64866030,0.51746422,0.82100272,1.50414908,0.00279967,0.24049422,-0.43089208,-0.07410543,-0.33042368
107,1.783333,0.64866030,0.51746422,0.82100272,1.48796880,0.00518159,0.25638530,-0.34554681,-0.02673052,-0.33990800
108,1.800000,0.69897455,0.51772636,0.83147860,1.46889699,0.00691338,0.25351638,-0.30962217,0.01737345,-0.34695211
109,1.816667,0.69897455,0.51772636,0.83147860,1.44993079,0.00807295,0.23227943,-0.31307092,0.04990414,-0.34435269
110,1.833333,0.74546188,0.51798850,0.83931875,1.43582356,0.00934721,0.19588137,-0.32661563,0.06617974,-0.34716678
111,1.850000,0.74546188,0.51798850,0.83931875,1.42892659,0.01148574,0.14931990,-0.31738299,0.07222496,-0.36929983
112,1.866667,0.79336590,0.51825070,0.84408259,1.42836440,0.01501559,0.09950440,-0.28096405,0.07821941,-0.41426063
113,1.883333,0.79336590,0.51825070,0.84408259,1.43229985,0.02016888,0.05546169,-0.25162861,0.08785373,-0.48244703
114,1.900000,0.84049094,0.51896501,0.84314847,1.43940687,0.02702331,0.02592522,-0.26369265,0.09764779,-0.57285196
115,1.916667,0.84049094,0.51896501,0.84314847,1.44838488,0.03570582,0.01440197,-0.30626920,0.10531165,-0.67593706
116,1.933333,0.88949567,0.52013159,0.84221435,1.45786905,0.04632615,0.01575748,-0.32675651,0.11604553,-0.76962864
117,1.950000,0.88949567,0.52013159,0.84221435,1.46737885,0.05849443,0.01851552,-0.28306440,0.14007545,-0.83085054
118,1.966667,0.93806005,0.52216917,0.84567440,1.47728598,0.07079201,0.01243330,-0.19183967,0.18365654,-0.85454690
119,1.983333,0.93806005,0.52216917,0.84567440,1.48738158,0.08093458,-0.00496718,-0.12158010,0.24270891,-0.85724723
120,2.000000,0.98814273,0.52570248,0.84405446,1.49627423,0.08696657,-0.02920806,-0.13112839,0.30431244,-0.85507649
