frame,time_s,root_x,root_y,root_z,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
48,0.800000,1.13136947,0.02452485,0.83189988,3.57765746,-0.02481947,-0.59965241,1.01076245,-0.75309181,0.28072399
49,0.816667,1.13136947,0.02452485,0.83189988,3.55056405,-0.00517373,-0.66920656,1.22444415,-0.75268573,0.24457213
50,0.833333,1.25560844,0.02653435,0.80364978,3.50630403,0.00986743,-0.67948896,1.40722048,-0.67753792,0.22444776
51,0.850000,1.25560844,0.02653435,0.80364978,3.44274282,0.01660197,-0.62772089,1.50770640,-0.51805198,0.11803292
52,0.866667,1.36661673,0.02690125,0.78047383,3.37532377,0.01560443,-0.52085245,1.44415736,-0.30442896,-0.10476706
53,0.883333,1.36661673,0.02690125,0.78047383,3.32624078,0.00904113,-0.37218645,1.18140483,-0.08269335,-0.31853461
54,0.900000,1.47421038,0.02757287,0.77007115,3.31163025,-0.00203677,-0.19713302,0.78727210,0.10387798,-0.37311330
55,0.916667,1.47421038,0.02757287,0.77007115,3.33727217,-0.01750488,-0.01082754,0.39987794,0.22392291,-0.25904572
56,0.933333,1.58295536,0.02695195,0.77291018,3.39969826,-0.03650167,0.17151223,0.12195015,0.26658082,-0.09156226
57,0.950000,1.58295536,0.02695195,0.77291018,3.48792028,-0.05630839,0.33378908,-0.04707453,0.24431299,0.01792805
58,0.966667,1.70134676,0.02455887,0.79045290,3.58633637,-0.07223745,0.46115234,-0.16790435,0.18485224,0.02518612
59,0.983333,1.70134676,0.02455887,0.79045290,3.67924929,-0.07870622,0.54414845,-0.27257785,0.12069488,-0.06892203
60,1.000000,1.82714343,0.02021265,0.81269747,3.75455332,-0.07176937,0.58096653,-0.33551219,0.08325423,-0.24343525
61,1.016667,1.82714343,0.02021265,0.81269747,3.80496597,-0.05192685,0.57592541,-0.31534484,0.09183000,-0.45741087
62,1.033333,1.95682943,0.01857570,0.83356494,3.82795095,-0.02479216,0.53623092,-0.20763838,0.13687178,-0.65257484
63,1.050000,1.95682943,0.01857570,0.83356494,3.82557058,0.00159164,0.46893650,-0.05257624,0.17812021,-0.77532178
64,1.066667,2.08536363,0.02054563,0.84867477,3.80396056,0.02119827,0.37870091,0.09921215,0.17094521,-0.80447638
65,1.083333,2.08536363,0.02054563,0.84867477,3.77131271,0.03276096,0.26725319,0.21195239,0.09514942,-0.76158786
66,1.100000,2.20975518,0.02138106,0.85764378,3.73456025,0.03856400,0.13541713,0.25240910,-0.04104736,-0.69295305
67,1.116667,2.20975518,0.02138106,0.85764378,3.69686842,0.04095321,-0.01376907,0.17675877,-0.21585353,-0.64037251
68,1.133333,2.33294392,0.02323236,0.85479331,3.65792537,0.04041938,-0.17384198,-0.04131459,-0.40471917,-0.62157184
69,1.150000,2.33294392,0.02323236,0.85479331,3.61595774,0.03644558,-0.33581236,-0.36904493,-0.57885164,-0.62632537
70,1.166667,2.45265603,0.02455322,0.84037185,3.56866980,0.02898867,-0.48901457,-0.71777302,-0.70070273,-0.62497687
71,1.183333,2.45265603,0.02455322,0.84037185,3.51304412,0.01876889,-0.62073922,-1.01054382,-0.72816157,-0.58388484
72,1.200000,2.57020068,0.02502164,0.81471795,3.44650340,0.00677829,-0.71619970,-1.24825716,-0.63294852,-0.48009059
73,1.216667,2.57020068,0.02502164,0.81471795,3.36986208,-0.00580328,-0.76015317,-1.47283387,-0.42428523,-0.30425858
74,1.233333,2.68160987,0.02472816,0.78398424,3.28897762,-0.01717766,-0.74037105,-1.64557672,-0.15749094,-0.05817030
75,1.250000,2.68160987,0.02472816,0.78398424,3.20993066,-0.02502875,-0.65285331,-1.62288654,0.09137152,0.22882521
76,1.266667,2.78491354,0.02285426,0.75891179,3.12617826,-0.02784636,-0.50760537,-1.31160605,0.27124557,0.47654733
77,1.283333,2.78491354,0.02285426,0.75891179,3.00312638,-0.02621817,-0.33126438,-0.80679423,0.37528583,0.58212394
78,1.300000,2.88906407,0.02245905,0.75352705,2.77693868,-0.02226054,-0.16173510,-0.32209659,0.41428435,0.50722504
79,1.316667,2.88906407,0.02245905,0.75352705,2.38730073,-0.01773454,-0.03435778,-0.01302560,0.39015427,0.32333428
80,1.333333,2.98994112,0.02166324,0.76179594,1.83670795,-0.01320011,0.03375070,0.10359705,0.30861309,0.14666194
81,1.350000,2.98994112,0.02166324,0.76179594,1.22128856,-0.00880084,0.05013606,0.10092279,0.19933712,0.04216296
